playerID,yearID,nameFirst,nameLast,G,AB,R,H,HR,RBI,BB,SO,SB,AVG,HR_rate,BB_rate
alvared01,2020,Eddy,Alvarez,12,37,6,7,0,2.0,3,16.0,2.0,0.1891891891891892,0.0,0.075
alvared01,2021,Eddy,Alvarez,24,64,8,12,1,6.0,4,18.0,1.0,0.1875,0.015625,0.058823529411764705
alvared01,2022,Eddy,Alvarez,14,25,1,4,0,3.0,0,9.0,1.0,0.16,0.0,0.0
alvared01,2024,Eddy,Alvarez,13,9,2,0,0,0.0,1,2.0,0.0,0.0,0.0,0.1
alvarfr01,2022,Francisco,Alvarez,5,12,3,2,1,1.0,2,4.0,0.0,0.16666666666666666,0.08333333333333333,0.14285714285714285
alvarfr01,2023,Francisco,Alvarez,123,382,51,80,25,63.0,34,110.0,2.0,0.2094240837696335,0.06544502617801047,0.08173076923076923
alvarfr01,2024,Francisco,Alvarez,100,308,39,73,11,47.0,30,86.0,1.0,0.237012987012987,0.03571428571428571,0.08875739644970414
alvarjo02,2021,Jose,Alvarez,67,2,1,0,0,0.0,2,2.0,0.0,0.0,0.0,0.5
alvarjo03,2022,Jose,Alvarado,59,1,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
alvarna01,2024,Nacho,Alvarez,8,30,1,3,0,0.0,0,10.0,0.0,0.1,0.0,0.0
alvaryo01,2020,Yordan,Alvarez,2,8,2,2,1,4.0,0,1.0,0.0,0.25,0.125,0.0
alvaryo01,2021,Yordan,Alvarez,144,537,92,149,33,104.0,50,145.0,1.0,0.2774674115456238,0.061452513966480445,0.08517887563884156
alvaryo01,2022,Yordan,Alvarez,135,470,95,144,37,97.0,78,106.0,1.0,0.30638297872340425,0.07872340425531915,0.14233576642335766
alvaryo01,2023,Yordan,Alvarez,114,410,77,120,31,97.0,69,92.0,0.0,0.2926829268292683,0.07560975609756097,0.1440501043841336
alvaryo01,2024,Yordan,Alvarez,147,552,88,170,35,86.0,69,95.0,6.0,0.3079710144927536,0.06340579710144928,0.1111111111111111
alzolad01,2021,Adbert,Alzolay,30,31,1,2,0,0.0,1,13.0,0.0,0.06451612903225806,0.0,0.03125
amadoad01,2024,Adael,Amador,10,35,1,6,0,0.0,1,6.0,1.0,0.17142857142857143,0.0,0.027777777777777776
amayaja01,2023,Jacob,Amaya,4,9,1,2,0,2.0,0,1.0,1.0,0.2222222222222222,0.0,0.0
amayaja01,2024,Jacob,Amaya,24,68,4,12,0,3.0,4,28.0,1.0,0.17647058823529413,0.0,0.05555555555555555
amayami01,2023,Miguel,Amaya,53,131,17,28,5,18.0,12,40.0,0.0,0.21374045801526717,0.03816793893129771,0.08391608391608392
amayami01,2024,Miguel,Amaya,117,328,32,76,8,47.0,23,62.0,0.0,0.23170731707317074,0.024390243902439025,0.06552706552706553
amburtr01,2021,Trey,Amburgey,2,4,0,0,0,0.0,0,2.0,0.0,0.0,0.0,0.0
anderbr04,2021,Brett,Anderson,24,28,2,0,0,1.0,4,14.0,0.0,0.0,0.0,0.125
anderbr06,2020,Brian,Anderson,59,200,27,51,11,38.0,22,66.0,0.0,0.255,0.055,0.0990990990990991
anderbr06,2021,Brian,Anderson,67,233,24,58,7,28.0,26,65.0,5.0,0.24892703862660945,0.030042918454935622,0.10038610038610038
anderbr06,2022,Brian,Anderson,98,338,43,75,8,28.0,37,101.0,1.0,0.22189349112426035,0.023668639053254437,0.09866666666666667
anderbr06,2023,Brian,Anderson,96,318,38,72,9,40.0,36,108.0,1.0,0.22641509433962265,0.02830188679245283,0.1016949152542373
anderbr06,2024,Brian,Anderson,3,5,0,0,0,0.0,0,2.0,0.0,0.0,0.0,0.0
anderch01,2021,Chase,Anderson,14,11,0,0,0,0.0,0,6.0,0.0,0.0,0.0,0.0
anderia01,2021,Ian,Anderson,24,37,0,2,0,0.0,1,29.0,0.0,0.05405405405405406,0.0,0.02631578947368421
anderta01,2021,Tanner,Anderson,1,2,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
anderti01,2020,Tim,Anderson,49,208,45,67,10,21.0,10,50.0,5.0,0.32211538461538464,0.04807692307692308,0.045871559633027525
anderti01,2021,Tim,Anderson,123,527,94,163,17,61.0,22,119.0,18.0,0.3092979127134725,0.03225806451612903,0.04007285974499089
anderti01,2022,Tim,Anderson,79,332,50,100,6,25.0,14,55.0,13.0,0.30120481927710846,0.018072289156626505,0.04046242774566474
anderti01,2023,Tim,Anderson,123,493,52,121,1,25.0,26,122.0,13.0,0.24543610547667344,0.002028397565922921,0.05009633911368015
anderti01,2024,Tim,Anderson,65,234,16,50,0,9.0,7,68.0,4.0,0.21367521367521367,0.0,0.029045643153526972
anderty01,2021,Tyler,Anderson,31,39,1,4,1,1.0,1,29.0,0.0,0.10256410256410256,0.02564102564102564,0.025
anderty01,2022,Tyler,Anderson,31,1,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
andrejo03,2021,John,Andreoli,7,6,2,1,0,0.0,1,3.0,0.0,0.16666666666666666,0.0,0.14285714285714285
andruel01,2020,Elvis,Andrus,29,103,11,20,3,7.0,8,15.0,3.0,0.1941747572815534,0.02912621359223301,0.07207207207207207
andruel01,2021,Elvis,Andrus,146,497,60,121,3,37.0,31,81.0,12.0,0.24346076458752516,0.006036217303822937,0.058712121212121215
andruel01,2022,Elvis,Andrus,149,535,66,133,17,58.0,39,92.0,18.0,0.2485981308411215,0.03177570093457944,0.06794425087108014
andruel01,2023,Elvis,Andrus,112,374,39,94,6,44.0,25,71.0,12.0,0.25133689839572193,0.016042780748663103,0.06265664160401002
andujmi01,2020,Miguel,Andujar,21,62,5,15,1,5.0,3,9.0,0.0,0.24193548387096775,0.016129032258064516,0.046153846153846156
andujmi01,2021,Miguel,Andujar,45,154,19,39,6,12.0,7,28.0,0.0,0.2532467532467532,0.03896103896103896,0.043478260869565216
andujmi01,2022,Miguel,Andujar,36,132,13,31,1,17.0,5,27.0,4.0,0.23484848484848486,0.007575757575757576,0.0364963503649635
andujmi01,2023,Miguel,Andujar,30,84,9,21,4,18.0,6,13.0,2.0,0.25,0.047619047619047616,0.06666666666666667
andujmi01,2024,Miguel,Andujar,75,302,31,86,4,30.0,13,42.0,3.0,0.2847682119205298,0.013245033112582781,0.04126984126984127
antonte01,2021,Tejay,Antone,23,3,1,0,0,0.0,1,3.0,0.0,0.0,0.0,0.25
apostsh01,2020,Sherten,Apostel,7,20,1,2,0,0.0,1,9.0,0.0,0.1,0.0,0.047619047619047616
aquinar01,2020,Aristides,Aquino,23,47,7,8,2,8.0,6,18.0,1.0,0.1702127659574468,0.0425531914893617,0.11320754716981132
aquinar01,2021,Aristides,Aquino,84,174,25,33,10,23.0,27,75.0,2.0,0.1896551724137931,0.05747126436781609,0.13432835820895522
aquinar01,2022,Aristides,Aquino,80,259,24,51,10,30.0,17,101.0,2.0,0.1969111969111969,0.03861003861003861,0.06159420289855073
arandjo01,2022,Jonathan,Aranda,32,78,10,15,2,6.0,8,23.0,0.0,0.19230769230769232,0.02564102564102564,0.09302325581395349
arandjo01,2023,Jonathan,Aranda,34,87,13,20,2,13.0,13,31.0,0.0,0.22988505747126436,0.022988505747126436,0.13
arandjo01,2024,Jonathan,Aranda,44,128,22,30,6,14.0,12,32.0,0.0,0.234375,0.046875,0.08571428571428572
arauzjo01,2020,Jonathan,Arauz,25,72,8,18,1,9.0,8,21.0,0.0,0.25,0.013888888888888888,0.1
arauzjo01,2021,Jonathan,Arauz,28,65,9,12,3,8.0,8,15.0,0.0,0.18461538461538463,0.046153846153846156,0.1095890410958904
arauzjo01,2022,Jonathan,Arauz,15,38,3,5,1,5.0,1,12.0,0.0,0.13157894736842105,0.02631578947368421,0.02564102564102564
arauzjo01,2023,Jonathan,Arauz,27,59,3,8,3,9.0,5,18.0,0.0,0.13559322033898305,0.05084745762711865,0.078125
arciaor01,2020,Orlando,Arcia,59,173,22,45,5,20.0,14,32.0,2.0,0.26011560693641617,0.028901734104046242,0.0748663101604278
arciaor01,2021,Orlando,Arcia,36,81,9,16,2,14.0,7,19.0,1.0,0.19753086419753085,0.024691358024691357,0.07954545454545454
arciaor01,2022,Orlando,Arcia,68,209,25,51,9,30.0,21,51.0,0.0,0.24401913875598086,0.0430622009569378,0.09130434782608696
arciaor01,2023,Orlando,Arcia,139,488,66,129,17,65.0,39,102.0,1.0,0.26434426229508196,0.03483606557377049,0.07400379506641366
arciaor01,2024,Orlando,Arcia,157,551,50,120,17,46.0,41,128.0,2.0,0.2177858439201452,0.030852994555353903,0.06925675675675676
arenano01,2020,Nolan,Arenado,48,182,23,46,8,26.0,15,20.0,0.0,0.25274725274725274,0.04395604395604396,0.07614213197969544
arenano01,2021,Nolan,Arenado,157,593,81,151,34,105.0,50,96.0,2.0,0.25463743676222594,0.05733558178752108,0.07776049766718507
arenano01,2022,Nolan,Arenado,148,557,73,163,30,103.0,52,72.0,5.0,0.2926391382405745,0.05385996409335727,0.08538587848932677
